cu_id,material_id
cu_bed1_1_63b637289acc,mat_293941370d7f
cu_bed1_1_63b637289acc,mat_41547e632157
cu_bed1_1_63b637289acc,mat_93df2aaec8b4
cu_bed1_1_63b637289acc,mat_0b1bb1c17858
cu_bed1_1_63b637289acc,mat_7d2cd91a59df
cu_bed1_1_63b637289acc,mat_94af3f86ba90
cu_bed1_1_63b637289acc,mat_310e1c90d7f6
cu_bed1_1_63b637289acc,mat_bb2c777e5091
cu_bed1_1_63b637289acc,mat_d5466c45bf2d
cu_bed1_1_63b637289acc,mat_6561e54129e1
cu_bed1_1_63b637289acc,mat_4ac275ab526d
cu_ike1_1_4f1f564939fb,mat_88f6e40cdc1a
cu_ike1_1_4f1f564939fb,mat_c8a206dec8e3
cu_ike1_1_4f1f564939fb,mat_05adcfcadc63
cu_met1_1_5299a2d13891,mat_d7021c2a4fb7
cu_met1_1_5299a2d13891,mat_9fc7660fa5e4
cu_ret1_1_4ce3bf52d256,mat_290b7e98df3a
cu_ret1_1_4ce3bf52d256,mat_8220e0bde9ab
cu_ret1_1_4ce3bf52d256,mat_f752201237b4
cu_ret1_1_4ce3bf52d256,mat_09de5a1e6a31
cu_ret1_1_4ce3bf52d256,mat_7d1178a0a494
cu_ret1_1_4ce3bf52d256,mat_5796edf1c2e9
cu_ret1_1_4ce3bf52d256,mat_6e6781e361f3
cu_ret1_1_4ce3bf52d256,mat_a52d42cf0e2d
cu_ret1a_1_53287b811193,mat_9a28da6d555e
cu_ret1a_1_53287b811193,mat_a3d5c790f298
cu_ret1a_1_53287b811193,mat_5e2d7def0150
cu_ret1a_1_53287b811193,mat_bcfa54038406
cu_ret1a_1_53287b811193,mat_35a60605e40b
cu_ret1a_1_53287b811193,mat_e07dc0ebaff7
cu_sam1_1_ac76e07effd2,mat_076f5c606d82
cu_sam1_1_ac76e07effd2,mat_a08138de48ff
cu_sam1_1_ac76e07effd2,mat_0565d44866bc
cu_sam1_1_ac76e07effd2,mat_83cbd0921fac
cu_sam1_1_ac76e07effd2,mat_1733730302db
cu_sam1_1_ac76e07effd2,mat_0fd5bfa9e7b0
cu_sam1_1_ac76e07effd2,mat_0be93221117e
cu_sam1_1_ac76e07effd2,mat_f42aab0277a3
cu_sam1_1_ac76e07effd2,mat_4dd73f056818
cu_sam1_1_ac76e07effd2,mat_05adcfcadc63
cu_sam1a_1_bea510118f82,mat_9d4b63a55491
cu_sam1a_1_bea510118f82,mat_34aa93c5fb63
cu_met2_1_fdaa307cfdbf,mat_dc3a7d93f42e
cu_met2_1_fdaa307cfdbf,mat_2464e9efae71
cu_met2_1_fdaa307cfdbf,mat_c8d9b7f903c1
cu_sam2_1_ff7de6dbf52f,mat_0c9095ec888f
cu_sam2_1_ff7de6dbf52f,mat_4934e7405b6c
cu_sam2_1_ff7de6dbf52f,mat_c53e78917ccd
cu_sam2_1_ff7de6dbf52f,mat_9a4b8407d6c0
cu_sol1_1_89f427880ede,mat_f37b62639243
cu_sol1_1_89f427880ede,mat_d81fdfece9b2
cu_bed2_1_7ddc8a5d34fe,mat_fd26458c42e0
cu_bed2_1_7ddc8a5d34fe,mat_e63de0b937e4
cu_met3_1_eaf21cf9b2b7,mat_ae1ac3881315
cu_met3_1_eaf21cf9b2b7,mat_75f64a5f0ddf
cu_sol2_1_791e819490e6,mat_12ed508cb678
cu_sol2_1_791e819490e6,mat_8ee912420de0
cu_sol2_1_791e819490e6,mat_032c99c6b6f4
cu_bed3_1_6ab7952c4415,mat_fb5269a1d20d
cu_bed3_1_6ab7952c4415,mat_131ec62ef744
cu_bed3_1_6ab7952c4415,mat_7786aad19f00
cu_bed3_1_6ab7952c4415,mat_4ac275ab526d
cu_met4_1_1d3b5c475eb4,mat_1bae787d6433
cu_met4_1_1d3b5c475eb4,mat_eee5bd914043
cu_met4_1_1d3b5c475eb4,mat_9af45652b0b4
cu_met4_1_1d3b5c475eb4,mat_7f9d2caec001
cu_sam3_1_86eebe25ea50,mat_d14e9702b893
cu_sam3_1_86eebe25ea50,mat_1b6ce64b3f9e
cu_sam3_1_86eebe25ea50,mat_ef29db635d94
cu_sam3_1_86eebe25ea50,mat_7ead7863b00b
cu_sam3_1_86eebe25ea50,mat_cda45e43bf35
cu_bed4_1_865e95761e8b,mat_9cc2fa6269aa
cu_bed4_1_865e95761e8b,mat_4f5931ff8527
cu_bed4_1_865e95761e8b,mat_4ac275ab526d
cu_sam4_1_030d3c7fc534,mat_a230ac6d35aa
cu_sam4_1_030d3c7fc534,mat_52f62c176470
cu_sam4_1_030d3c7fc534,mat_55ad93294a42
cu_sam4_1_030d3c7fc534,mat_7b030e511110
cu_sam4_1_030d3c7fc534,mat_05adcfcadc63
cu_sam4a_1_8f445e855eb6,mat_f97e6a48ac58
cu_sam4a_1_8f445e855eb6,mat_16f123069d61
cu_sam4a_1_8f445e855eb6,mat_b2aadae638b3
cu_sam4a_1_8f445e855eb6,mat_de0c465539cf
cu_sam4a_1_8f445e855eb6,mat_81e8e2f6be80
cu_sol3_1_70290da46e1b,mat_c0473edc1c28
cu_sol3_1_70290da46e1b,mat_97ee16d6f5e9
cu_sol3_1_70290da46e1b,mat_1125bbd74410
cu_bed5_1_1556e16069fa,mat_424e233be885
cu_bed5_1_1556e16069fa,mat_53b34491f32d
cu_sol4_1_92f2348ac2ec,mat_9d7452484cbc
cu_sol4_1_92f2348ac2ec,mat_ece35b626baa
cu_sol4_1_92f2348ac2ec,mat_d75e48e4c013
cu_sol4_1_92f2348ac2ec,mat_306a2b0e4868
