parent_id,child_id
cu_boa_0,cu_bed1_1_461060f72366
cu_boa_0,cu_ike1_1_edcf6d71b500
cu_boa_0,cu_kom1_1_f12efdedd955
cu_boa_0,cu_met1_1_a90410d8328a
cu_boa_0,cu_ret1_1_9bfb161a5019
cu_boa_0,cu_ret1a_1_427e644b4592
cu_boa_0,cu_sam1_1_a176f2819793
cu_boa_0,cu_sam1a_1_ab8ba3b4d4db
cu_boa_0,cu_met2_1_556b54213722
cu_boa_0,cu_sam2_1_a7a72ceecc6f
cu_boa_0,cu_sol1_1_b06331cb0a62
cu_boa_0,cu_bed2_1_3f798a5d1bd8
cu_boa_0,cu_met3_1_3048fea3c8e1
cu_boa_0,cu_sol2_1_54fc06d1d870
cu_boa_0,cu_bed3_1_b43a5275f00c
cu_boa_0,cu_met4_1_0d92e845d74b
cu_boa_0,cu_sam3_1_1824ef1ee91d
cu_boa_0,cu_bed4_1_370177fb81b0
cu_boa_0,cu_sam4_1_e91233bf1f18
cu_boa_0,cu_sam4a_1_ad8a770b3934
cu_boa_0,cu_sol3_1_eca5e036c695
cu_boa_0,cu_bed5_1_f1ed3d8af13a
cu_boa_0,cu_sol4_1_53d58f58ab69
cu_boa_0,cu_sam26_1_3547dad8e671
cu_boa_0,cu_for14_1_466c7d371ae4
cu_boa_0,cu_for11_1_298068c95669
cu_boa_0,cu_for15_1_70e8d9cfd876
cu_boa_0,cu_for16_1_74faedaf0dea
cu_boa_0,cu_for18_1_fbc4d2634a09
cu_boa_0,cu_for19_1_cbf25bce57b7
cu_boa_0,cu_for20_1_d2f43fd75632
cu_boa_0,cu_for21_1_f328c31096ad
cu_boa_0,cu_for12_1_b711f1d7550d
cu_boa_0,cu_sam12_1_ec2c37d2a0c0
cu_boa_0,cu_sam15_1_cfc1a4d37072
cu_boa_0,cu_sam17_1_a8a671c0401b
cu_boa_0,cu_sam20_1_6ee1cb24a5cf
cu_boa_0,cu_sam13_1_aad24e431af3
cu_boa_0,cu_sam14_1_af0fe3afbc35
cu_boa_0,cu_sam16_1_0de221653389
cu_boa_0,cu_sam23_1_6cf06b3d3b44
cu_boa_0,cu_sam24_1_ebe0e50a6b16
cu_boa_0,cu_sam25_1_835498bfaef5
cu_boa_0,cu_sam22_1_4d07e6e4fdb8
cu_boa_0,cu_sol13_1_9af067e7e1cc
cu_boa_0,cu_sol11_1_6c488552e607
cu_boa_0,cu_sol21_1_aa0e3c1754c2
cu_boa_0,cu_sol12_1_c1821faa8ad6
cu_boa_0,cu_sol16_1_02dc5c1dced5
cu_boa_0,cu_sol17_1_b17d2500ee97
cu_boa_0,cu_sol22_1_b9722d39daf0
cu_boa_0,cu_bed3e_1_be48ee139547
cu_boa_0,cu_fin11_1_4918a7f30a75
cu_boa_0,cu_fin14_1_2431dcf1f43e
cu_boa_0,cu_fin16_1_7867a44ea322
cu_boa_0,cu_fin10_1_f6d082c1a051
cu_boa_0,cu_fin15_1_683bc83da7c4
cu_boa_0,cu_rrr10_1_4623fc1e0946
cu_boa_0,cu_rrr11_1_220b0280d83f
cu_boa_0,cu_ret11_1_1682e42e1ccd
cu_boa_0,cu_ret14_1_e8ef0bfe7838
cu_boa_0,cu_rrr13_1_d47b6ecc65eb
cu_boa_0,cu_rrr14_1_2168259382f6
cu_boa_0,cu_mat11_1_b8c477be8a5e
cu_boa_0,cu_mat12_1_b8009f060cde
cu_boa_0,cu_mat10_1_863388852cd1
cu_boa_0,cu_mat14_1_2e7d4ea8fcee
cu_boa_0,cu_mat16_1_91455caf8f3e
cu_boa_0,cu_mat13_1_7fed6a0ee315
cu_boa_0,cu_mat15_1_73e69417cdfa
cu_boa_0,cu_eng11_1_ade28ff5b00b
cu_boa_0,cu_fsk20_1_05897c2b4745
cu_boa_0,cu_eng10_1_9d2b96c6af99
cu_boa_0,cu_fra21_1_c20bcf3f32ec
cu_boa_0,cu_fra22_1_4e35d2063aa3
cu_boa_0,cu_jap10_1_b350888ffa2d
cu_boa_0,cu_jap11_1_b77cf2a7078e
cu_boa_0,cu_jap12_1_3b08d04b08e8
cu_boa_0,cu_spa20_1_bb005c2998d4
cu_boa_0,cu_spa10_1_20f0dae77f61
cu_boa_0,cu_spa13_1_47dcd5c53285
cu_boa_0,cu_tys11_1_d001aa4630e2
cu_boa_0,cu_tys10_1_f4a33a4ab9cf
cu_boa_0,cu_int111_1_072ee8258ee1
cu_boa_0,cu_intern_a_b_1_75b05021198f
